id,chapter,chunk,raw_text,clean_text,length,word_count,tfidf_cluster,embed_cluster,scene_label,emotion,spatial_keywords,motion_keywords,intensity,scene_order_param,narrative_family,motion_intensity_param
alice_ch02_c011,2,11,"There seemed to be no use in waiting by the little door, so she went back to the table, half hoping she might find another key on it, or at any rate a book of rules for shutting people up like telescopes: this time she found a little bottle on it, (`which certainly was not here before,' said Alice,) and round the neck of the bottle was a paper label, with the words `DRINK ME' beautifully printed on it in large letters. It was all very well to say `Drink me,' but the wise little Alice was not going to do THAT in a hurry.",there seemed to be no use in waiting by the little door so she went back to the table half hoping she might find another key on it or at any rate a book of rules for shutting people up like telescopes this time she found a little bottle on it which certainly was not here before said alice and round the neck of the bottle was a paper label with the words drink me beautifully printed on it in large letters it was all very well to say drink me but the wise little alice was not going to do that in a hurry,506,105,0,2,transformation,curious,"['narrow', 'compact', 'low']","['emerging', 'shrinking', 'expanding']",0.4,6.25,2,0.3333333333333333
alice_ch02_c012,2,12,"`No, I'll look first,' she said, `and see whether it's marked ""poison"" or not'; for she had read several nice little histories about children who had got burnt, and eaten up by wild beasts and other unpleasant things, all because they WOULD not remember the simple rules their friends had taught them: such as, that a red-hot poker will burn you if you hold it too long; and that if you cut your finger VERY deeply with a knife, it usually bleeds; and she had never forgotten that, if you drink much from a bottle marked `poison,' it is almost certain to disagree with you, sooner or later.",no i ll look first she said and see whether it s marked poison or not for she had read several nice little histories about children who had got burnt and eaten up by wild beasts and other unpleasant things all because they would not remember the simple rules their friends had taught them such as that a red hot poker will burn you if you hold it too long and that if you cut your finger very deeply with a knife it usually bleeds and she had never forgotten that if you drink much from a bottle marked poison it is almost certain to disagree with you sooner or later,567,111,2,2,corridor,anxious,"['narrow', 'elongated', 'enclosed']","['tilting', 'flowing', 'drifting']",0.4,6.875,2,0.3333333333333333
alice_ch02_c013,2,13,"However, this bottle was NOT marked `poison,' so Alice ventured to taste it, and finding it very nice, (it had, in fact, a sort of mixed flavour of cherry-tart, custard, pine-apple, roast turkey, toffee, and hot buttered toast,) she very soon finished it off. * * * * * * * * * * * * * * * * * * * * `What a curious feeling!' said Alice; `I must be shutting up like a telescope.' And so it was indeed: she was now only ten inches high, and her face brightened up at the thought that she was now the right size for going through the little door into that lovely garden. First, however, she waited for a few minutes to see if she was going to shrink any further: she felt a little nervous about this; `for it might end, you know,' said Alice to herself, `in my going out altogether, like a candle.",however this bottle was not marked poison so alice ventured to taste it and finding it very nice it had in fact a sort of mixed flavour of cherry tart custard pine apple roast turkey toffee and hot buttered toast she very soon finished it off what a curious feeling said alice i must be shutting up like a telescope and so it was indeed she was now only ten inches high and her face brightened up at the thought that she was now the right size for going through the little door into that lovely garden first however she waited for a few minutes to see if she was going to shrink any further she felt a little nervous about this for it might end you know said alice to herself in my going out altogether like a candle,716,140,2,2,transformation,curious,"['constricted', 'telescopic', 'diminutive']","['shrinking', 'telescoping', 'compressing']",0.6,7.5,2,0.6666666666666665
alice_ch02_c014,2,14,"I wonder what I should be like then?' And she tried to fancy what the flame of a candle is like after the candle is blown out, for she could not remember ever having seen such a thing. After a while, finding that nothing more happened, she decided on going into the garden at once; but, alas for poor Alice! when she got to the door, she found she had forgotten the little golden key, and when she went back to the table for it, she found she could not possibly reach it: she could see it quite plainly through the glass, and she tried her best to climb up one of the legs of the table, but it was too slippery; and when she had tired herself out with trying, the poor little thing sat down and cried.",i wonder what i should be like then and she tried to fancy what the flame of a candle is like after the candle is blown out for she could not remember ever having seen such a thing after a while finding that nothing more happened she decided on going into the garden at once but alas for poor alice when she got to the door she found she had forgotten the little golden key and when she went back to the table for it she found she could not possibly reach it she could see it quite plainly through the glass and she tried her best to climb up one of the legs of the table but it was too slippery and when she had tired herself out with trying the poor little thing sat down and cried,683,139,2,2,transformation,anxious,"['vertical', 'planar', 'narrow']","['climbing', 'slipping', 'reaching']",0.5,8.125,2,0.4999999999999999
alice_ch02_c015,2,15,"`Come, there's no use in crying like that!' said Alice to herself, rather sharply; `I advise you to leave off this minute!' She generally gave herself very good advice, (though she very seldom followed it), and sometimes she scolded herself so severely as to bring tears into her eyes; and once she remembered trying to box her own ears for having cheated herself in a game of croquet she was playing against herself, for this curious child was very fond of pretending to be two people. `But it's no use now,' thought poor Alice, `to pretend to be two people!",come there s no use in crying like that said alice to herself rather sharply i advise you to leave off this minute she generally gave herself very good advice though she very seldom followed it and sometimes she scolded herself so severely as to bring tears into her eyes and once she remembered trying to box her own ears for having cheated herself in a game of croquet she was playing against herself for this curious child was very fond of pretending to be two people but it s no use now thought poor alice to pretend to be two people,537,102,0,2,unknown,anxious,"['confined', 'intimate', 'compact']","['trembling', 'fidgeting', 'subsiding']",0.35,8.75,2,0.24999999999999992
alice_ch02_c016,2,16,"Why, there's hardly enough of me left to make ONE respectable person!' Soon her eye fell on a little glass box that was lying under the table: she opened it, and found in it a very small cake, on which the words `EAT ME' were beautifully marked in currants. `Well, I'll eat it,' said Alice, `and if it makes me grow larger, I can reach the key; and if it makes me grow smaller, I can creep under the door; so either way I'll get into the garden, and I don't care which happens!' She ate a little bit, and said anxiously to herself, `Which way?",why there s hardly enough of me left to make one respectable person soon her eye fell on a little glass box that was lying under the table she opened it and found in it a very small cake on which the words eat me were beautifully marked in currants well i ll eat it said alice and if it makes me grow larger i can reach the key and if it makes me grow smaller i can creep under the door so either way i ll get into the garden and i don t care which happens she ate a little bit and said anxiously to herself which way,517,110,0,2,transformation,anxious,"['narrow', 'low', 'enclosed']","['expanding', 'contracting', 'creeping']",0.6,9.375,2,0.6666666666666665
alice_ch02_c017,2,17,"Which way?', holding her hand on the top of her head to feel which way it was growing, and she was quite surprised to find that she remained the same size: to be sure, this generally happens when one eats cake, but Alice had got so much into the way of expecting nothing but out-of-the-way things to happen, that it seemed quite dull and stupid for life to go on in the common way. So she set to work, and very soon finished off the cake.",which way holding her hand on the top of her head to feel which way it was growing and she was quite surprised to find that she remained the same size to be sure this generally happens when one eats cake but alice had got so much into the way of expecting nothing but out of the way things to happen that it seemed quite dull and stupid for life to go on in the common way so she set to work and very soon finished off the cake,427,89,0,2,transformation,curious,"['vertical', 'uniform', 'centralized']","['expanding', 'contracting', 'oscillating']",0.25,10.0,2,0.0833333333333333
alice_ch03_c001,3,1,"The Pool of Tears `Curiouser and curiouser!' cried Alice (she was so much surprised, that for the moment she quite forgot how to speak good English); `now I'm opening out like the largest telescope that ever was! Good-bye, feet!' (for when she looked down at her feet, they seemed to be almost out of sight, they were getting so far off). `Oh, my poor little feet, I wonder who will put on your shoes and stockings for you now, dears? I'm sure _I_ shan't be able! I shall be a great deal too far off to trouble myself about you: you must manage the best way you can; --but I must be kind to them,' thought Alice, `or perhaps they won't walk the way I want to go! Let me see: I'll give them a new pair of boots every Christmas.' And she went on planning to herself how she would manage it.",the pool of tears curiouser and curiouser cried alice she was so much surprised that for the moment she quite forgot how to speak good english now i m opening out like the largest telescope that ever was good bye feet for when she looked down at her feet they seemed to be almost out of sight they were getting so far off oh my poor little feet i wonder who will put on your shoes and stockings for you now dears i m sure i shan t be able i shall be a great deal too far off to trouble myself about you you must manage the best way you can but i must be kind to them thought alice or perhaps they won t walk the way i want to go let me see i ll give them a new pair of boots every christmas and she went on planning to herself how she would manage it,750,159,0,2,transformation,curious,"['vertical', 'elongated', 'tapered']","['stretching', 'receding', 'expanding']",0.6,0.0,2,0.6666666666666665
alice_ch03_c002,3,2,"`They must go by the carrier,' she thought; `and how funny it'll seem, sending presents to one's own feet! And how odd the directions will look! ALICE'S RIGHT FOOT, ESQ. HEARTHRUG, NEAR THE FENDER, (WITH ALICE'S LOVE). Oh dear, what nonsense I'm talking!' Just then her head struck against the roof of the hall: in fact she was now more than nine feet high, and she at once took up the little golden key and hurried off to the garden door. Poor Alice! It was as much as she could do, lying down on one side, to look through into the garden with one eye; but to get through was more hopeless than ever: she sat down and began to cry again. `You ought to be ashamed of yourself,' said Alice, `a great girl like you,' (she might well say this), `to go on crying in this way!",they must go by the carrier she thought and how funny it ll seem sending presents to one s own feet and how odd the directions will look alice s right foot esq hearthrug near the fender with alice s love oh dear what nonsense i m talking just then her head struck against the roof of the hall in fact she was now more than nine feet high and she at once took up the little golden key and hurried off to the garden door poor alice it was as much as she could do lying down on one side to look through into the garden with one eye but to get through was more hopeless than ever she sat down and began to cry again you ought to be ashamed of yourself said alice a great girl like you she might well say this to go on crying in this way,732,153,2,2,transformation,anxious,"['vertical', 'low-ceiling', 'narrow']","['growing', 'colliding', 'crouching']",0.7,0.625,2,0.8333333333333331
alice_ch03_c003,3,3,"Stop this moment, I tell you!' But she went on all the same, shedding gallons of tears, until there was a large pool all round her, about four inches deep and reaching half down the hall. After a time she heard a little pattering of feet in the distance, and she hastily dried her eyes to see what was coming. It was the White Rabbit returning, splendidly dressed, with a pair of white kid gloves in one hand and a large fan in the other: he came trotting along in a great hurry, muttering to himself as he came, `Oh! the Duchess, the Duchess! Oh!",stop this moment i tell you but she went on all the same shedding gallons of tears until there was a large pool all round her about four inches deep and reaching half down the hall after a time she heard a little pattering of feet in the distance and she hastily dried her eyes to see what was coming it was the white rabbit returning splendidly dressed with a pair of white kid gloves in one hand and a large fan in the other he came trotting along in a great hurry muttering to himself as he came oh the duchess the duchess oh,528,105,2,2,corridor,anxious,"['long', 'narrow', 'linear']","['flowing', 'spreading', 'trotting']",0.7,1.25,2,0.8333333333333331
alice_ch03_c004,3,4,"won't she be savage if I've kept her waiting!' Alice felt so desperate that she was ready to ask help of any one; so, when the Rabbit came near her, she began, in a low, timid voice, `If you please, sir--' The Rabbit started violently, dropped the white kid gloves and the fan, and skurried away into the darkness as hard as he could go. Alice took up the fan and gloves, and, as the hall was very hot, she kept fanning herself all the time she went on talking: `Dear, dear! How queer everything is to-day! And yesterday things went on just as usual. I wonder if I've been changed in the night? Let me think: was I the same when I got up this morning? I almost think I can remember feeling a little different. But if I'm not the same, the next question is, Who in the world am I?",won t she be savage if i ve kept her waiting alice felt so desperate that she was ready to ask help of any one so when the rabbit came near her she began in a low timid voice if you please sir the rabbit started violently dropped the white kid gloves and the fan and skurried away into the darkness as hard as he could go alice took up the fan and gloves and as the hall was very hot she kept fanning herself all the time she went on talking dear dear how queer everything is to day and yesterday things went on just as usual i wonder if i ve been changed in the night let me think was i the same when i got up this morning i almost think i can remember feeling a little different but if i m not the same the next question is who in the world am i,747,158,2,2,corridor,anxious,"['long', 'enclosed', 'dim']","['falling', 'darting', 'oscillating']",0.6,1.875,2,0.6666666666666665
alice_ch03_c005,3,5,"Ah, THAT'S the great puzzle!' And she began thinking over all the children she knew that were of the same age as herself, to see if she could have been changed for any of them. `I'm sure I'm not Ada,' she said, `for her hair goes in such long ringlets, and mine doesn't go in ringlets at all; and I'm sure I can't be Mabel, for I know all sorts of things, and she, oh! she knows such a very little! Besides, SHE'S she, and I'm I, and--oh dear, how puzzling it all is! I'll try if I know all the things I used to know. Let me see: four times five is twelve, and four times six is thirteen, and four times seven is--oh dear! I shall never get to twenty at that rate! However, the Multiplication Table doesn't signify: let's try Geography.",ah that s the great puzzle and she began thinking over all the children she knew that were of the same age as herself to see if she could have been changed for any of them i m sure i m not ada she said for her hair goes in such long ringlets and mine doesn t go in ringlets at all and i m sure i can t be mabel for i know all sorts of things and she oh she knows such a very little besides she s she and i m i and oh dear how puzzling it all is i ll try if i know all the things i used to know let me see four times five is twelve and four times six is thirteen and four times seven is oh dear i shall never get to twenty at that rate however the multiplication table doesn t signify let s try geography,703,157,2,2,dream_fall,dreamlike,"['vertical', 'narrow', 'tubular']","['falling', 'drifting', 'tumbling']",0.5,2.5,2,0.4999999999999999
alice_ch03_c006,3,6,"London is the capital of Paris, and Paris is the capital of Rome, and Rome--no, THAT'S all wrong, I'm certain! I must have been changed for Mabel! I'll try and say ""How doth the little--""' and she crossed her hands on her lap as if she were saying lessons, and began to repeat it, but her voice sounded hoarse and strange, and the words did not come the same as they used to do:-- `How doth the little crocodile Improve his shining tail, And pour the waters of the Nile On every golden scale!",london is the capital of paris and paris is the capital of rome and rome no that s all wrong i m certain i must have been changed for mabel i ll try and say how doth the little and she crossed her hands on her lap as if she were saying lessons and began to repeat it but her voice sounded hoarse and strange and the words did not come the same as they used to do how doth the little crocodile improve his shining tail and pour the waters of the nile on every golden scale,471,98,2,4,nonsense,absurd,"['warped', 'layered', 'fragmented']","['shifting', 'warping', 'jittering']",0.35,3.125,4,0.24999999999999992
alice_ch03_c007,3,7,"`How cheerfully he seems to grin, How neatly spread his claws, And welcome little fishes in With gently smiling jaws!' `I'm sure those are not the right words,' said poor Alice, and her eyes filled with tears again as she went on, `I must be Mabel after all, and I shall have to go and live in that poky little house, and have next to no toys to play with, and oh! ever so many lessons to learn! No, I've made up my mind about it; if I'm Mabel, I'll stay down here! It'll be no use their putting their heads down and saying ""Come up again, dear!"" I shall only look up and say ""Who am I then?",how cheerfully he seems to grin how neatly spread his claws and welcome little fishes in with gently smiling jaws i m sure those are not the right words said poor alice and her eyes filled with tears again as she went on i must be mabel after all and i shall have to go and live in that poky little house and have next to no toys to play with and oh ever so many lessons to learn no i ve made up my mind about it if i m mabel i ll stay down here it ll be no use their putting their heads down and saying come up again dear i shall only look up and say who am i then,565,124,2,2,dream_fall,anxious,"['vertical', 'narrow', 'cylindrical']","['falling', 'descending', 'drifting']",0.6,3.75,2,0.6666666666666665
alice_ch03_c008,3,8,"Tell me that first, and then, if I like being that person, I'll come up: if not, I'll stay down here till I'm somebody else""--but, oh dear!' cried Alice, with a sudden burst of tears, `I do wish they WOULD put their heads down! I am so VERY tired of being all alone here!' As she said this she looked down at her hands, and was surprised to see that she had put on one of the Rabbit's little white kid gloves while she was talking. `How CAN I have done that?' she thought.",tell me that first and then if i like being that person i ll come up if not i ll stay down here till i m somebody else but oh dear cried alice with a sudden burst of tears i do wish they would put their heads down i am so very tired of being all alone here as she said this she looked down at her hands and was surprised to see that she had put on one of the rabbit s little white kid gloves while she was talking how can i have done that she thought,450,99,2,2,rabbit_hole,anxious,"['narrow', 'vertical', 'spiral']","['falling', 'slipping', 'drifting']",0.4,4.375,2,0.3333333333333333
alice_ch03_c009,3,9,"`I must be growing small again.' She got up and went to the table to measure herself by it, and found that, as nearly as she could guess, she was now about two feet high, and was going on shrinking rapidly: she soon found out that the cause of this was the fan she was holding, and she dropped it hastily, just in time to avoid shrinking away altogether. `That WAS a narrow escape!' said Alice, a good deal frightened at the sudden change, but very glad to find herself still in existence; `and now for the garden!' and she ran with all speed back to the little door: but, alas! the little door was shut again, and the little golden key was lying on the glass table as before, `and things are worse than ever,' thought the poor child, `for I never was so small as this before, never!",i must be growing small again she got up and went to the table to measure herself by it and found that as nearly as she could guess she was now about two feet high and was going on shrinking rapidly she soon found out that the cause of this was the fan she was holding and she dropped it hastily just in time to avoid shrinking away altogether that was a narrow escape said alice a good deal frightened at the sudden change but very glad to find herself still in existence and now for the garden and she ran with all speed back to the little door but alas the little door was shut again and the little golden key was lying on the glass table as before and things are worse than ever thought the poor child for i never was so small as this before never,751,150,0,2,transformation,anxious,"['narrow', 'low', 'confined']","['shrinking', 'running', 'dropping']",0.8,5.0,2,1.0
alice_ch03_c010,3,10,"And I declare it's too bad, that it is!' As she said these words her foot slipped, and in another moment, splash! she was up to her chin in salt water. Her first idea was that she had somehow fallen into the sea, `and in that case I can go back by railway,' she said to herself. (Alice had been to the seaside once in her life, and had come to the general conclusion, that wherever you go to on the English coast you find a number of bathing machines in the sea, some children digging in the sand with wooden spades, then a row of lodging houses, and behind them a railway station.) However, she soon made out that she was in the pool of tears which she had wept when she was nine feet high. `I wish I hadn't cried so much!' said Alice, as she swam about, trying to find her way out.",and i declare it s too bad that it is as she said these words her foot slipped and in another moment splash she was up to her chin in salt water her first idea was that she had somehow fallen into the sea and in that case i can go back by railway she said to herself alice had been to the seaside once in her life and had come to the general conclusion that wherever you go to on the english coast you find a number of bathing machines in the sea some children digging in the sand with wooden spades then a row of lodging houses and behind them a railway station however she soon made out that she was in the pool of tears which she had wept when she was nine feet high i wish i hadn t cried so much said alice as she swam about trying to find her way out,755,158,4,2,dream_fall,anxious,"['vertical', 'concave', 'expansive']","['falling', 'submerging', 'drifting']",0.7,5.625,2,0.8333333333333331
